所属省份,区划名称,面积/平方公里,常住人口/万人（2010）,人口密度/人/平方公里,GDP/亿元,GDP年份,人均GDP/万元,省级序列,城市分级,流动人口/万人（2018）,流动人口/万人（2017）,铁路干线1-特等站,铁路干线2-五纵三横,民航年流量/万人（2018）前五十,民航年流量/万人（2018）前一百,经度,纬度,Suo Shu Sheng Fen ,Qu Hua Ming Cheng
上海,上海,"6,340.50",2302,3630.5,20101,2012,8.73,1,0,972.69,969.7,特,1,11768.2,11768.2,121.4692688,31.23817635,Shang Hai ,Shang Hai 
北京,北京,"16,800.00",1961,1167.4,17801,2012,9.08,1,0,794.3,810,特,1,10749.6,10749.6,116.3809433,39.9236145,Bei Jing ,Bei Jing 
广东,广州,"7,434.40",1270,1708.38,13551,2012,10.67,1,0,967.33,533.9,特,1,6979,6979,113.2614288,23.11891174,Guang Dong ,Guang Zhou 
广东,深圳,"1,952.84",1036,5304.04,12950,2012,12.5,2,0,818.11,806.3,特,1,4934.9,4934.9,114.110672,22.55639648,Guang Dong ,Shen Zhen 
天津,天津,"11,920.00",1294,1085.42,12885,2012,9.96,1,1,498.23,517.7,特,1,2359.1,2359.1,117.2034988,39.13111877,Tian Jin ,Tian Jin 
江苏,苏州,"8,488.00",1047,1233.03,12012,2012,11.48,,1,538,569.68,,,,,120.6187286,31.31645203,Jiang Su ,Su Zhou 
重庆,重庆,"82,400.00",2885,350.07,11459,2012,3.97,1,1,167.65,,特,1,4159.6,4159.6,106.5103378,29.55817604,Chong Qing ,Chong Qing 
四川,成都,"12,390.00",1258,1015.25,8138,2012,6.47,1,1,437,192.9,特,1,5287.7,5287.7,104.0817566,30.66105652,Si Chuan ,Cheng Du
湖北,武汉,"8,494.41",891,1048.93,8003,2012,8.98,1,1,287,242.8,特,1,2450,2450,114.2919388,30.56751442,Hu Bei ,Wu Han 
浙江,杭州,"16,840.75",786,466.84,7804,2012,9.93,1,1,450.44,182.8,,1,3824.2,3824.2,120.1592484,30.26599503,Zhe Jiang ,Hang Zhou 
江苏,无锡,"4,788.00",637,1330.96,7568,2012,11.88,2,2,190,206.1,特,,720.8,720.8,120.2991333,31.57723045,Jiang Su ,Wu Xi 
山东,青岛,"11,175.30",839,750.47,7302,2012,8.71,2,1,161,129.1,特,,2453.6,2453.6,120.3581696,36.13386154,Shan Dong ,Qing Dao 
江苏,南京,"6,597.00",800,1213.38,7202,2012,9,1,1,200,164.2,特,1,2858,2858,118.7727814,32.04761505,Jiang Su ,Nan Jing 
辽宁,大连,"13,538.39",608,449.09,7000,2012,11.51,2,2,120,103.1,,1,1876.3,1876.3,121.6008377,38.91780472,Liao Ning ,Da Lian 
广东,佛山,"3,848.49",719,1869.39,6709,2012,9.33,,2,360.09,346.1,,,,,113.1145172,23.03487778,Guang Dong ,Fo Shan 
辽宁,沈阳,"12,880.88",762,591.57,6700,2012,8.79,1,1,90.7,94.8,特,1,1902.7,1902.7,123.4116821,41.7966156,Liao Ning ,Shen Yang 
浙江,宁波,"9,695.51",690,711.15,6525,2012,9.46,2,1,430,242.22,,,1171.8,1171.8,121.5412827,29.87066841,Zhe Jiang ,Ning Bo 
湖南,长沙,"11,819.46",653,552.39,6399,2012,9.8,1,1,200,177.4,特,1,2526.6,2526.6,112.9812698,28.20082474,Hu Nan,Chang Sha 
河北,唐山,"13,472",739,548.48,5862,2012,7.93,2,,39,24.78,,,,,118.2017288,39.62533951,He Bei ,Tang Shan 
河南,郑州,"7,532.56",736,976.56,5547,2012,7.54,1,1,340,145.3,特,1,2733.5,2733.5,113.6500473,34.7570343,He Nan,Zheng Zhou 
山东,烟台,"13,746.47",699,508.82,5281,2012,7.55,,2,50.6,51,,,843.3,843.3,121.3799362,37.53561401,Shan Dong ,Yan Tai 
广东,东莞,"2,465.00",822,3334.78,5010,2012,6.09,,1,415.86,625.2,,,,,113.7487717,23.0485363,Guang Dong ,Dong Guan 
山东,济南,"8,000.80",657,821.36,4812,2012,7.32,1,2,203,90.5,特,1,1661.2,1661.2,117.0056,36.6670723,Shan Dong ,Ji Nan
福建,泉州,"11,245.00",813,722.86,4710,2012,5.79,,2,204.07,223.7,,,744.3,744.3,118.5896378,24.91591835,Fu Jian ,Quan Zhou 
黑龙江,哈尔滨,"53,067.95",1064,200.42,4587,2012,4.31,1,2,113.39,133.2,特,1,2043.2,2043.2,126.6433411,45.74149323,Hei Long Jiang ,Ha Er Bin 
江苏,南通,"8,544.00",728,852.39,4559,2012,6.26,,2,,,,,,277.1,120.8555679,32.01506805,Jiang Su ,Nan Tong 
吉林,长春,"20,571.06",746,362.62,4507,2012,6.04,1,2,120,,特,1,1297,1297,125.3154297,43.89256287,Ji Lin ,Chang Chun 
河北,石家庄,"15,848",978,617.16,4500,2012,4.6,1,2,89.28,104.1,特,1,1133.3,1133.3,114.4897766,38.04512787,He Bei ,Shi Jia Zhuang 
陕西,西安,"10,108.02",847,837.49,4369,2012,5.16,1,1,126,58.3,特,1,4465.3,4465.3,108.949028,34.26168442,Shan Xi ,Xi An 
福建,福州,"12,155.46",712,585.36,4218,2012,5.93,1,2,127.87,69.9,,1,1439.4,1439.4,119.2978134,26.07859039,Fu Jian ,Fu Zhou 
安徽,合肥,"7,029.48",491,698.49,4164,2012,8.48,1,2,158,57.1,,1,1111.1,1111.1,117.2757034,31.86325455,An Hui ,He Fei 
黑龙江,大庆,"21,218.73",290,136.89,4152,2012,14.29,,,50,,,,,,125.0248566,46.59545136,Hei Long Jiang ,Da Qing 
江苏,徐州,"11,258.00",858,762.17,4017,2012,4.68,,2,,,特,1,,251.9,117.1856079,34.26752853,Jiang Su ,Xu Zhou 
山东,潍坊,"16,004.89",884,552.09,4012,2012,4.54,,,,34.38,,,,,119.1068497,36.7040863,Shan Dong ,Wei Fang 
江苏,常州,"4,385.00",459,1047.2,3970,2012,8.65,,2,170,95.9,特,,332.8,332.8,119.9502869,31.78393364,Jiang Su ,Chang Zhou 
内蒙,鄂尔多斯,"86,752.00",155,17.84,3661,2012,23.65,,,50,46.1,,,,247.5,109.8,39.62,Nei Meng ,E Er Duo Si 
浙江,温州,"12,255.77",790,644.68,3650,2012,4.62,,2,297,99.3,,,1121.9,1121.9,120.6502914,28.01647568,Zhe Jiang ,Wen Zhou 
浙江,绍兴,"8,255.73",458,554.89,3620,2012,7.9,,2,79,54.3,,,,,120.5739288,30.01093102,Zhe Jiang ,Shao Xing 
山东,淄博,"5,965.17",448,751.68,3557,2012,7.93,,,,36.26,,,,,118.0560532,36.7935791,Shan Dong ,Zi Bo 
内蒙,包头,"27,768.00",251,90.25,3410,2012,13.61,2,,,62.1,,1,,203.2,109.8517075,40.6664238,Nei Meng ,Bao Tou 
山东,济宁,"11,194.27",792,707.2,3189,2012,4.03,,,,,,,,122.2,116.576561,35.40924072,Shan Dong ,Ji Ning 
江苏,盐城,"16,972.00",726,427.78,3120,2012,4.3,,,,,,,,182.2,120.1351776,33.38982773,Jiang Su ,Yan Cheng 
河北,邯郸,"12,062",876,726.14,3024,2012,3.45,,,,,,,,,114.4729538,36.60151672,He Bei ,Han Dan 
山东,临沂,"17,201.67",980,569.68,3013,2012,3.07,,,,,,,,200.6,118.3379593,35.06945038,Shan Dong ,Lin Yi 
云南,昆明,"21,001.28",619,294.9,3011,2012,4.86,1,1,219,113,特,1,4708.8,4708.8,102.704567,25.04384422,Yun Nan,Kun Ming 
河南,洛阳,"15,229.83",634,416.39,3001,2012,4.73,,,,,,,,131.4,112.4247971,34.66804123,He Nan,Luo Yang 
山东,东营,"7,923.26",199,251.27,3001,2012,15.07,,,,,,,,,118.4959564,37.46191406,Shan Dong ,Dong Ying 
江西,南昌,"7,432.18",458,616.32,3001,2012,6.55,1,2,80,,,1,1352.4,1352.4,115.8999176,28.67599106,Jiang Xi ,Nan Chang 
江苏,扬州,"6,634.00",446,672.26,2933,2012,6.58,,2,,,,,,238.4,119.4368362,32.39188766,Jiang Su ,Yang Zhou 
浙江,台州,"10,083.39",573,568.66,2927,2012,5.1,,2,124.28,,,,,111.2,121.43,28.68,Zhe Jiang ,Tai Zhou 
浙江,嘉兴,"3,964.79",419,1055.79,2885,2012,6.89,,2,247,109.3,,,,,120.7536316,30.77111435,Zhe Jiang ,Jia Xing 
福建,厦门,"1,651.98",353,2137.65,2822,2012,7.99,2,2,221.02,171.5,,1,2655.3,2655.3,118.0875168,24.45743561,Fu Jian ,Xia Men 
河北,沧州,"13,419",693,516.34,2812,2012,4.06,,,,,,,,,116.8607712,38.30884171,He Bei ,Cang Zhou 
陕西,榆林,"43,070.03",335,77.81,2769,2012,8.26,,,107.18,,,,,209,109.7574463,38.29727554,Shan Xi ,Yu Lin 
河北,保定,"22,159",1085,489.85,2721,2012,2.51,,,,,,,,,115.5001831,38.85707092,He Bei ,Bao Ding 
江苏,泰州,"5,797.00",462,796.72,2702,2012,5.85,,,,,,,,,119.91124,32.495872,Jiang Su ,Tai Zhou 
浙江,金华,"10,941.22",510,466.13,2700,2012,5.29,,2,300,119.6,,,,163.6,119.6522064,29.11081696,Zhe Jiang ,Jin Hua 
吉林,吉林,"27,659.79",433,156.42,2690,2012,6.22,2,,,,,,,,126.5668182,43.88667679,Ji Lin ,Ji Lin 
辽宁,鞍山,"9,252.35",350,378.55,2687,2012,7.67,,,,,,,,,122.9843826,41.11525726,Liao Ning ,An Shan 
江苏,镇江,"3,847.00",311,809.3,2630,2012,8.45,,,,46.2,,,,,119.4442978,32.20589828,Jiang Su ,Zhen Jiang 
山东,泰安,"7,761.83",543,700.02,2547,2012,4.69,,,,,,,,,117.1241074,36.1871109,Shan Dong ,Tai An 
广西,南宁,"22,111.98",682,308.65,2530,2012,3.71,1,2,130,,特,1,1509.8,1509.8,108.3117676,22.80654335,Guang Xi ,Nan Ning 
内蒙,呼和浩特,"17,271.00",264,152.58,2526,2012,9.59,1,,63.4,67.9,,1,1215.9,1215.9,111.6632996,40.82094193,Nei Meng ,Hu He Hao Te 
湖北,宜昌,"21,227.00",403,189.85,2509,2012,6.23,,,,,,,,294.9,111.2852707,30.70395279,Hu Bei ,Yi Chang 
湖北,襄阳,"19,724.41",543,275.04,2502,2012,4.61,,,,,特,,,140.6,112.1411133,32.04539871,Hu Bei ,Xiang Yang 
广东,中山,"1,800.14",312,1733.69,2447,2012,7.84,,2,162.45,161.8,,,,,113.3714523,22.52685356,Guang Dong ,Zhong Shan 
广东,惠州,"11,158.00",460,411.99,2368,2012,5.15,,2,163,113.2,,,,188,114.3924026,23.08795738,Guang Dong ,Hui Zhou 
河南,南阳,"26,508.69",995,375.51,2367,2012,2.38,,,,,,,,90.8,112.5375137,32.99901962,He Nan,Nan Yang 
山东,威海,"5,697.98",280,491.33,2338,2012,8.35,,,,26.07,,,,250.8,122.1116867,37.50076294,Shan Dong ,Wei Hai 
山西,太原,"6,959.96",346,496.71,2311,2012,6.68,1,2,100,64.2,特,1,1358.8,1358.8,112.5693512,37.87111282,Shan Xi ,Tai Yuan 
山东,德州,"10,356.32",545,526.52,2231,2012,4.09,,,,,,,,,116.2878723,37.45369339,Shan Dong ,De Zhou 
湖南,岳阳,"14,897.87",516,346.22,2200,2012,4.27,,,,,,,,,113.0980682,29.37461853,Hu Nan,Yue Yang 
山东,聊城,"8,714.57",554,635.33,2146,2012,3.88,,,,,,,,,115.9884262,36.44943237,Shan Dong ,Liao Cheng 
湖南,常德,"18,189.82",544,298.96,2039,2012,3.75,,,,,,,,,111.6876297,29.03820992,Hu Nan,Chang De 
新疆,乌鲁木齐,"15,173.13",231,152.44,2000,2012,8.65,1,,110,84.1,,1,2302.8,2302.8,87.60611725,43.79093933,Xin Jiang ,Wu Lu Mu Qi 
福建,漳州,"12,873.66",481,373.63,2000,2012,4.16,,,,,,,,,117.6530914,24.51816368,Fu Jian ,Zhang Zhou 
山东,滨州,"9,032.60",367,406.44,1988,2012,5.42,,,,,,,,,118.0217667,37.36781311,Shan Dong ,Bin Zhou 
湖南,衡阳,"15,302.78",672,439.27,1958,2012,2.91,,,,,,,,,112.5993576,26.90055466,Hu Nan,Heng Yang 
广东,茂名,"11,458.00",582,507.75,1951,2012,3.35,,,,,,,,,110.8888474,21.67071724,Guang Dong ,Mao Ming 
江苏,淮安,"10,072.00",480,476.56,1921,2012,4,,,,,,,,151.6,119.14111,33.502789,Jiang Su ,Huai An 
广东,江门,"9,540.60",445,466.31,1910,2012,4.29,,,59,60.5,,,,,113.0847473,22.59119034,Guang Dong ,Jiang Men 
安徽,芜湖,"3,362.55",226,672.11,1874,2012,8.29,2,,,,,,,,118.3598328,31.33449554,An Hui ,Wu Hu 
广东,湛江,"12,470.50",699,560.79,1870,2012,2.67,,,,,,1,,256,110.3992233,21.19499779,Guang Dong ,Zhan Jiang 
宁夏,银川,9025.38,225,249.36,1803,2017,8.01,1,,,,,1,894.5,894.5,106.2719421,38.46800995,Ning Xia ,Yin Chuan 
河北,廊坊,"6,429",406,631.86,1794,2012,4.42,,,,,,,,,116.6898575,39.51511002,He Bei ,Lang Fang 
山东,菏泽,"12,193.85",817,669.64,1787,2012,2.19,,,,,,,,,115.4457626,35.24853897,Shan Dong ,He Ze 
广西,柳州,"18,667.44",366,195.96,1780,2012,4.87,2,,42.1,,特,1,,134.7,109.4028091,24.31040573,Guang Xi ,Liu Zhou 
湖南,株洲,"11,262.20",370,328.18,1759,2012,4.76,2,,,,特,1,,,113.1520615,27.85422325,Hu Nan,Zhu Zhou 
山东,枣庄,"4,563.22",364,797.77,1749,2012,4.8,,,,,,,,,117.556282,34.87264633,Shan Dong ,Zao Zhuang 
河南,许昌,"4,978.36",429,861.45,1739,2012,4.05,,,,,,,,,113.8215866,34.02685928,He Nan,Xu Chang 
贵州,贵阳,"8,046.67",392,487.31,1700,2012,4.34,1,2,120,68.3,特,,2009.6,2009.6,106.7113724,26.57687378,Gui Zhou ,Gui Yang 
内蒙,通辽,"59,535.00",309,51.98,1700,2012,5.49,,,,,,1,,98.3,122.2603302,43.61156082,Nei Meng ,Tong Liao 
浙江,湖州,"5,818.44",280,481.23,1662,2012,5.94,,,,32.66,,,,,120.0971298,30.86603928,Zhe Jiang ,Hu Zhou 
河南,新乡,"8,249.45",552,668.69,1619,2012,2.93,,,,,,,,,113.8685532,35.30746841,He Nan,Xin Xiang 
陕西,咸阳,"10,290.46",490,475.87,1617,2012,3.3,,,36.49,,,,,,108.7101288,34.33721542,Shan Xi ,Xian Yang 
吉林,松原,"21,097.36",281,133.33,1605,2012,5.71,,,,,,,,,124.82,45.13,Ji Lin ,Song Yuan 
江苏,连云港,"7,446.00",439,590.1,1603,2012,3.65,,,,,,1,,151.6,119.1668015,34.60517883,Jiang Su ,Lian Yun Gang 
河南,安阳,"7,354.11",519,705.21,1593,2012,3.07,,,,,,,,,114.3500519,36.09685135,He Nan,An Yang 
河南,周口,"11,959.45",990,827.91,1592,2012,1.61,,,,,,,,,114.6372528,33.62804031,He Nan,Zhou Kou 
河南,焦作,"4,000.89",339,847.09,1576,2012,4.65,,,,,,,,,113.2217865,35.24735641,He Nan,Jiao Zuo 
甘肃,兰州,"13,103.04",329,251.41,1570,2012,4.77,1,2,59,46.3,特,1,1385.8,1385.8,103.7500534,36.06803894,Gan Su ,Lan Zhou 
内蒙,赤峰,"90,021.00",438,48.62,1569,2012,3.58,,,,,,,,157.2,118.9498215,42.26798248,Nei Meng ,Chi Feng 
河北,邢台,"12,439",688,553.45,1532,2012,2.23,,,,,,,,,114.4950867,37.0655899,He Bei ,Xing Tai 
湖南,郴州,"19,317.33",439,227,1527,2012,3.48,,,,,,,,,113.0286484,25.80229187,Hu Nan,Chen Zhou 
江苏,宿迁,"8,555.00",472,551.2,1517,2012,3.22,,,,,,,,,118.29706,33.958302,Jiang Su ,Su Qian 
海南,海口,"3,145.93",230,731.83,1511,2018,6.56,1,2,31.65,,,,2412.4,2412.4,110.3465118,20.03179359,Hai Nan,Hai Kou 
江西,赣州,"39,317.14",830,211.14,1508,2012,1.82,,,,,,,,162.5,114.9336777,25.85288239,Jiang Xi ,Gan Zhou 
广东,珠海,"1,687.72",156,924.46,1504,2012,9.64,,2,100,52.8,,,1122.1,1122.1,113.5682602,22.27258873,Guang Dong ,Zhu Hai 
河南,平顶山,"7,909.42",484,611.69,1502,2012,3.1,,,,,,,,,113.3001938,33.74362946,He Nan,Ping Ding Shan 
广西,桂林,"27,622.89",486,176.02,1496,2012,3.08,,,,,,,873.2,873.2,110.2866821,25.28188324,Guang Xi ,Gui Lin 
广东,肇庆,"14,856.00",392,263.74,1454,2012,3.71,,,,,,,,,112.4514084,23.05788231,Guang Dong ,Zhao Qing 
云南,曲靖,"28,939.41",573,197.97,1451,2012,2.53,2,,,,,,,,103.7947006,25.49616623,Yun Nan,Qu Jing 
江西,九江,"18,796.79",472,251.2,1420,2012,3.01,2,,,,,,,,115.984581,29.72321129,Jiang Xi ,Jiu Jiang 
河南,商丘,"10,700.23",764,713.94,1418,2012,1.86,,,,,,,,,115.6471863,34.44358444,He Nan,Shang Qiu 
广东,汕头,"2,064.42",539,2611.4,1415,2012,2.62,,,,,,,,,116.6837997,23.36269188,Guang Dong ,Shan Tou 
陕西,宝鸡,"18,143.01",372,204.86,1410,2012,3.79,2,,,,,1,,,107.1383591,34.38228607,Shan Xi ,Bao Ji 
河南,信阳,"18,908.31",663,350.86,1409,2012,2.12,,,,,,,,,114.0677185,32.13063049,He Nan,Xin Yang 
辽宁,营口,"5,365.46",232,433.3,1390,2012,5.98,,,,,,,,,122.2241516,40.66835022,Liao Ning ,Ying Kou 
河南,驻马店,"15,095.30",764,506.16,1387,2012,1.82,,,,,,,,,114.0356903,32.97904205,He Nan,Zhu Ma Dian 
广东,揭阳,"5,240.50",588,1121.46,1380,2012,2.35,,,,,,,649.4,649.4,116.34977,23.542976,Guang Dong ,Jie Yang 
福建,龙岩,"19,028.12",256,134.51,1375,2012,5.37,,,,,,,,,117.0303879,25.10970306,Fu Jian ,Long Yan 
贵州,遵义,"30,780.73",613,199.05,1370,2012,2.24,2,,,,,,,304,106.9293976,27.69538689,Gui Zhou ,Zun Yi 
安徽,安庆,"15,398.39",559,363.02,1360,2012,2.43,,,,,,,,,117.0344315,30.51264572,An Hui ,An Qing 
山东,日照,"5,347.99",272,509.14,1352,2012,4.97,,,,,,,,,119.4515533,35.42756271,Shan Dong ,Ri Zhao 
四川,绵阳,"20,267.46",495,243.99,1346,2012,2.72,2,,,,,,393.9,393.9,104.7485504,31.45634842,Si Chuan ,Mian Yang 
福建,三明,"22,928.79",250,109.18,1343,2012,5.36,,,,,,,,,117.6012268,26.22301292,Fu Jian ,San Ming 
内蒙,呼伦贝尔,"263,953.00",271,10.25,1336,2012,4.94,,,,,,,,232.9,119.77,49.22,Nei Meng ,Hu Lun Bei Er 
辽宁,盘锦,"4,017.85",128,319.17,1330,2012,10.37,,,,,,,,,122.0476303,41.18847656,Liao Ning ,Pan Jin 
山西,长治,"13,864.84",327,235.8,1329,2012,4.07,,,,,,,,,113.1055679,36.18191147,Shan Xi ,Chang Zhi 
青海,西宁,7660,237,309.54,1285,2017,5.42,1,,,,,1,634,634,101.7874527,36.60944748,Qing Hai ,Xi Ning 
湖南,湘潭,"5,006.46",276,550.69,1282,2012,4.65,,,,,,,,,112.9150238,27.87335014,Hu Nan,Xiang Tan 
四川,德阳,"5,953.75",364,610.69,1280,2012,3.52,,,,,,,,,104.3915482,31.13044548,Si Chuan ,De Yang 
陕西,延安,"37,030.45",219,59.06,1271,2012,5.81,,,,,,,,,109.471283,36.59387207,Shan Xi ,Yan An 
辽宁,锦州,"9,890.62",309,312.83,1270,2012,4.1,,,,,,,,,121.1333694,41.11112595,Liao Ning ,Jin Zhou 
江西,上饶,"22,826.04",644,282.19,1265,2012,1.96,,,,,,,,,117.9634018,28.45326614,Jiang Xi ,Shang Rao 
江西,宜春,"18,637.67",541,290.06,1248,2012,2.31,,,,,,,,,114.3746109,27.79557419,Jiang Xi ,Yi Chun 
四川,宜宾,"13,293.89",445,334.74,1243,2012,2.79,,,,,,,,97.5,104.6168671,28.77025604,Si Chuan ,Yi Bin 
河北,张家口,"36,829",420,113.95,1234,2012,2.94,,,,,,,,,114.8787766,40.81744003,He Bei ,Zhang Jia Kou 
安徽,马鞍山,"1,685.74",127,753.38,1232,2012,9.7,,,,,,,,,118.4807129,31.72492409,An Hui ,Ma An Shan 
山西,吕梁,"21,143.71",358,169.13,1230,2012,3.44,,,,,,,,,111.13,37.52,Shan Xi ,Lü Liang 
辽宁,抚顺,"11,271.47",224,198.49,1230,2012,5.5,,,,,,,,,123.9295578,41.84786606,Liao Ning ,Fu Shun 
山西,临汾,"20,589.11",417,202.64,1221,2012,2.93,,,,,,,,,111.5141678,36.08282471,Shan Xi ,Lin Fen 
陕西,渭南,"13,046.04",529,405.19,1212,2012,2.29,,,,,,,,,109.5008392,34.50152588,Shan Xi ,Wei Nan
河南,开封,"6,260.95",468,747.09,1212,2012,2.59,2,,,,,,,,114.3461685,34.7851944,He Nan,Kai Feng 
福建,莆田,"4,119.02",278,674.56,1203,2012,4.33,,,,,,,,,119.0103226,25.43813705,Fu Jian ,Pu Tian 
新疆,伊犁,"56,381.53",270,47.93,1200,2012,4.44,,,,,,,,133.3,81.317946,43.92186,Xin Jiang ,Yi Li 
湖北,荆州,"14,068.68",584,415.18,1196,2012,2.05,,,,,,,,,112.23,30.33,Hu Bei ,Jing Zhou 
湖北,黄冈,"17,446.63",667,382.14,1193,2012,1.79,,,,,,,,,114.8649292,30.44901848,Hu Bei ,Huang Gang 
吉林,四平,"14,382.04",335,232.89,1186,2012,3.54,,,,,,,,,124.377449,43.16560745,Ji Lin ,Si Ping 
河北,承德,"39,519",339,85.7,1181,2012,3.49,,,,,,,,,117.9223404,40.96760178,He Bei ,Cheng De 
四川,南充,"12,482.13",618,495.35,1180,2012,1.91,,,,,,,,94.3,106.0816269,30.79582214,Si Chuan ,Nan Chong 
黑龙江,齐齐哈尔,"42,469.00",537,126.37,1154,2012,2.15,2,,,,特,,,,123.9592667,47.34136963,Hei Long Jiang ,Qi Qi Ha Er 
河南,三门峡,"9,936.65",221,222.76,1149,2012,5.19,,,,,,,,,111.1952591,34.78076935,He Nan,San Men Xia 
广西,玉林,"12,838.00",560,436.09,1141,2012,2.04,,,,,,,,,110.1414719,22.63189697,Guang Xi ,Yu Lin 
河北,秦皇岛,"7,812",293,375.06,1139,2012,3.89,,,,,,,,,119.5982971,39.92430878,He Bei ,Qin Huang Dao 
